^Email addresses are only listed for schools that agreed to have their email publicly released. Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007.,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
*Principal names are available for State and State Integrated Schools. Principal names for Private Schools are provided where available.  The most up to date information that we have available has been provided.  Recent changes may not be reflected.,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,
Directory of Schools - as at 5/11/2014,,Contact Details,,,,,Location,,,Postal Address,,,,,Institution Information,,,,Regional Information,,,,,,,,,,Decile and Indicative Roll information October 2014,,,,,,,,
School ID,Name,Telephone,Fax,Email^,Principal*,School website,Street,Suburb,City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Longitude ,Latitude,Decile,Total School Roll,European/ Pakeha,Maori,Pasifika,Asian,MELAA,Other,International Students
1325,Karaka School,09 2948166,09 2947926,admin@karaka.school.nz,Jon Johnson,http://www.karaka.school.nz,R D 1 Blackbridge Road,,Papakura,Blackbridge Road,RD 1,Papakura,2580,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Franklin,Auckland Region,Auckland South,Auckland,Papakura,Hauraki-Waikato,Whangapouri Creek,Franklin Ward,174.902942,-37.125285,8,240,197,24,10,7,1,1,0
1326,Kaukapakapa School,09 4205477,09 4205557,admin@kaukapakapa.school.nz,Antony Westrupp,http://www.kaukapakapa.school.nz,977 Kaipara Coast Highway,,Kaukapakapa,Counter Delivery,Kaukapakapa Postcentre,Kaukapakapa,0843,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Rodney,Auckland Region,Auckland North,Auckland,Helensville,Te Tai Tokerau,Kaukapakapa,Rodney Ward,174.494878,-36.617883,8,272,215,46,1,7,3,0,0
1327,Kauri Park School,09 4836539,09 4832967,office@kauripark.school.nz,Terry Taylor,http://www.kauripark.school.nz,16 McGlashen Place,Beach Haven,Auckland,16 McGlashen Place,Beach Haven,North Shore City,0626,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Kaipatiki,Auckland Region,Auckland North,Auckland,Northcote,Te Tai Tokerau,Beachhaven South,North Shore Ward,174.69842,-36.805482,7,356,255,33,14,27,24,3,0
1328,Kaurilands School,09 8175645,09 8179235,secretary@kaurilands.school.nz,Joanna Augustine,http://www.kaurilands.school.nz,Atkinson Road,Titirangi,Auckland,109 Atkinson Road,Titirangi,Waitakere,0604,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Waitakere Ranges,Auckland Region,Auckland North,Auckland,Kelston,Tamaki Makaurau,Kaurilands,Waitakere Ward,174.65451,-36.928233,8,757,493,125,48,73,17,1,0
1329,Kedgley Intermediate,09 2784202,09 2789691,reception@kedgley.school.nz,Paul Murphy,http://www.kedgley.school.nz,Portage Road,Papatoetoe,Auckland,PO Box 23337,Hunters Corner,Manukau,2155,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Auckland,Mangere,Tamaki Makaurau,Aorere,Manukau Ward,174.834163,-36.976891,2,716,28,139,432,111,5,1,0
1330,Kelston Intermediate,09 8185544,09 8188894,rupelp@kelstonint.school.nz,Phillip Gordon,http://www.kelstonint.school.nz,Vanguard Road,Kelston,Auckland,Vanguard Road,Kelston,Waitakere,0602,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Auckland- Whau,Auckland Region,Auckland North,Auckland,Kelston,Tamaki Makaurau,Kelston Central,Whau Ward,174.663896,-36.897624,3,258,16,37,154,44,5,2,0
1331,Kelston School,09 8272187,09 8277021,admin@kelstonprimary.school.nz,Clifford Hughes,http://www.kelstonprimary.school.nz,5 Archibald Road,Kelston,Auckland,5 Archibald Road,Kelston,Waitakere,0602,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Whau,Auckland Region,Auckland North,Auckland,Kelston,Tamaki Makaurau,Kelston Central,Whau Ward,174.665451,-36.903467,3,338,21,61,169,71,15,1,0
1332,Kelvin Road School,09 2988417,09 2988450,secretary@krs.ac.nz,Thomas Robertson,http://www.krs.ac.nz,Kelvin Road,,Papakura,74 Kelvin Road,,Papakura,2110,Main Urban Area,Contributing,Bilingual Year 7-8 School,State: Not integrated,Co-Educational,Auckland- Papakura,Auckland Region,Auckland South,Auckland,Papakura,Hauraki-Waikato,Papakura East,Manurewa-Papakura Ward,174.959609,-37.063363,1,409,19,303,80,6,1,0,0
1333,Kingsford School,09 2759447,09 2757315,office@kingsford.school.nz,Rex Buckley,http://www.kingsford.school.nz,54 Raglan Street,Mangere East,Auckland,54 Raglan Street,Mangere East,Manukau,2024,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Auckland,Mangere,Tamaki Makaurau,Aorere,Manukau Ward,174.82739,-36.973509,1,369,0,70,279,20,0,0,0
1334,Kohimarama School,09 5285306,09 5285397,office@kohi.school.nz,Diane Manners,http://www.kohi.school.nz,112 Kohimarama Road,Kohimarama,Auckland,112 Kohimarama Road,Kohimarama,Auckland,1071,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Orakei,Auckland Region,Auckland South,Auckland,Tamaki,Tamaki Makaurau,Kohimarama West,Orakei Ward,174.837156,-36.854781,10,512,407,26,7,47,13,12,0
1335,Konini School (Auckland),09 8185005,09 8186952,office@konini.school.nz,Michael Malins,http://www.konini.school.nz,73 Withers Road,Glen Eden,Auckland,73 Withers Road,Glen Eden,Waitakere,0602,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Waitakere Ranges,Auckland Region,Auckland North,Auckland,Kelston,Tamaki Makaurau,Konini,Waitakere Ward,174.64289,-36.927233,6,415,227,67,41,57,19,4,0
1336,Koru School,09 2759194,09 2750839,koruadmin@koru.schoolzone.net.nz,Stanley Whata,,71 Robertson Road,Mangere,Auckland,71 Robertson Road,Favona,Manukau,2024,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Auckland,Mangere,Tamaki Makaurau,Favona West,Manukau Ward,174.803964,-36.958267,1,567,3,96,442,24,2,0,0
1337,Kowhai Intermediate,09 8467534,09 8467918,admin@kowhai.school.nz,Paul Douglas,http://www.kowhai.school.nz,26 Onslow Road,Kingsland,Auckland,26 Onslow Road,Mount Eden,Auckland,1024,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Auckland- Albert-Eden,Auckland Region,Auckland South,Auckland,Mt Albert,Tamaki Makaurau,Kingsland,Albert-Eden-Roskill Ward,174.748562,-36.872187,6,399,171,92,86,37,12,1,0
1338,Laingholm School,09 8178874,09 8179416,martynw@laingholm.school.nz,Martyn Weatherill,http://www.laingholm.school.nz,54 Victory Road,Laingholm,Waitakere,54 Victory Road,Laingholm,Waitakere,0604,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Waitakere Ranges,Auckland Region,Auckland North,Auckland,Helensville,Tamaki Makaurau,Laingholm,Waitakere Ward,174.627211,-36.962451,10,311,254,36,7,9,2,3,0
1339,Leabank School,09 2676939,09 2673053,admin@leabank.school.nz,Rex Maddren,http://leabank.school.nz/,7 Dr Pickering Avenue,Manurewa,Auckland,7 Dr Pickering Avenue,Manurewa,Manukau,2102,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Manurewa,Auckland Region,Auckland South,Auckland,Manurewa,Tamaki Makaurau,Leabank,Manurewa-Papakura Ward,174.886553,-37.034195,2,448,13,200,211,21,3,0,0
1340,Leigh School,09 4226031,09 4226032,office@leigh.school.nz,Julie Turner,http://www.leigh.school.nz,Hauraki Road,Leigh,Warkworth,Hauraki Road,RD 5,Warkworth,0985,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Rodney,Auckland Region,Auckland North,Auckland,Rodney,Te Tai Tokerau,Leigh,Rodney Ward,174.803596,-36.291113,5,60,38,14,6,1,1,0,0
1341,Lincoln Heights School,09 8337480,09 8321779,lhs@lincolnheights.school.nz,Debbie Waikato,http://www.lincolnheights.school.nz,Keegan Drive,Massey,Auckland,PO Box 79193,Royal Heights,Waitakere,0656,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Upper Harbour,Te Tai Tokerau,Waimumu North,Waitakere Ward,174.619682,-36.84487,3,428,90,124,167,40,6,1,0
1342,Long Bay School,09 4736077,09 4736673,admin@longbayprimary.ac.nz,Linda Barton - Redgrave,http://www.longbayprimary.ac.nz/,Ralph Eagles Place,Torbay,Auckland,23 Ralph Eagles Place,Long Bay,North Shore City,0630,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,Auckland,East Coast Bays,Te Tai Tokerau,Long Bay,Albany Ward,174.734597,-36.691084,10,325,259,15,6,16,24,2,3
1343,Mairangi Bay School,09 4788424,09 4755955,office@mairangibay.school.nz,Bruce Warren,http://www.mairangibay.school.nz,13 Agathis Avenue,Mairangi Bay,Auckland,13 Agathis Avenue,Mairangi Bay,Auckland,0630,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,Auckland,North Shore,Te Tai Tokerau,Mairangi Bay,Albany Ward,174.747386,-36.744593,10,474,333,23,2,96,14,4,2
1344,Mangatangi School,09 2327898,09 2327865,admin@mangatangi.school.nz,Christine West,http://www.mangatangi.school.nz,2047 Miranda Road,,Mangatangi,2047 Miranda Road,RD 3,Pokeno,2473,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Mangatawhiri,Whangamarino Ward,175.204623,-37.199817,6,103,64,34,2,3,0,0,0
1345,Mangatawhiri School,09 2336004,09 2336054,office@mangatawhiri.school.nz,Sharron Scouse,,Mckenzie Road,,Pokeno,McKenzie Road,RD 1,Pokeno,2471,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Auckland South,Auckland,Waikato,Hauraki-Waikato,Mangatawhiri,Whangamarino Ward,175.12297,-37.213804,7,122,100,19,0,0,3,0,0
1346,Mangere Bridge School,09 6367304,09 6342499,admin@mangerebridge.school.nz,Brendan Clarkin,http://www.mangerebridge.school.nz,Coronation Road,Mangere Bridge,Auckland,PO Box 59040,Mangere Bridge,Manukau,2151,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Auckland,Mangere,Tamaki Makaurau,Mangere Bridge,Manukau Ward,174.786866,-36.946367,4,379,73,129,138,31,4,4,0
1347,Mangere Central School,09 2759979,09 2757631,office@mangerecentral.school.nz,Maria Heron,http://www.mangerecentral.school.nz,244 Kirkbride Road,Mangere,Auckland,244 Kirkbride Road,Mangere,Manukau,2022,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Auckland,Mangere,Tamaki Makaurau,Mangere Central,Manukau Ward,174.790515,-36.974111,2,460,18,113,299,18,11,0,1
1348,Mangere East School,09 2764689,09 2700066,office@meps.school.nz,Anthony Noble-Campbell,http://www.meps.school.nz,21 Yates Road,Mangere East,Auckland,PO Box 86045,Mangere East,Manukau,2158,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Auckland,Mangere,Tamaki Makaurau,Harania East,Manukau Ward,174.825119,-36.964508,1,497,10,130,331,26,0,0,0
1350,Manuka Primary School,09 4448775,09 4442035,office@manuka.school.nz,Linda Munkowits,http://www.manuka.school.nz/,Manuka Road,Glenfield,Auckland,34 Manuka Road,Glenfield,North Shore City,0629,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Kaipatiki,Auckland Region,Auckland North,Auckland,Upper Harbour,Te Tai Tokerau,Witheford,North Shore Ward,174.716925,-36.77483,6,283,155,43,15,49,18,3,0
1351,Royal Oak Intermediate School,09 6365667,09 6342846,admin@royaloakint.school.nz,Derek Linington,http://www.royaloakint.school.nz/,74 Symonds Street,Royal Oak,Auckland,74 Symonds Street,Royal Oak,Auckland,1061,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Auckland,Mt Roskill,Tamaki Makaurau,Onehunga North West,Maungakiekie-Tamaki Ward,174.774516,-36.915792,4,384,37,80,215,43,6,3,0
1352,Manurewa East School,09 2669487,09 2660050,,Phil Palfrey,http://www.manurewaeast.school.nz,Scotts Road,Manurewa,Auckland,10 Scotts Road,Manurewa East,Manukau,2102,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Manurewa,Auckland Region,Auckland South,Auckland,Manurewa,Tamaki Makaurau,Manurewa East,Manurewa-Papakura Ward,174.908654,-37.02227,2,378,12,183,149,26,3,5,0
1353,Manurewa Intermediate,09 2668268,09 2675633,office@manurewaint.school.nz,Iain Taylor,http://manurewaint.school.nz/,76 Russell Road,Manurewa,Auckland,76 Russell Road,Manurewa,Manukau,2102,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Auckland- Manurewa,Auckland Region,Auckland South,Auckland,Manurewa,Tamaki Makaurau,Homai East,Manurewa-Papakura Ward,174.885516,-37.022515,1,659,27,284,274,63,9,2,0
1354,Manurewa Central School,09 269 0250,09 2665488,adminoff@mancent.school.nz,Edward Thew,http://www.mancent.school.nz,Hill Road,Manurewa,Auckland,2 Hill Road,Manurewa,Manukau,2102,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Manurewa,Auckland Region,Auckland South,Auckland,Manurewa,Tamaki Makaurau,Hillpark,Manurewa-Papakura Ward,174.896027,-37.020492,2,553,82,146,133,166,25,1,0
1355,Manurewa South School,09 2668341,09 2667750,admin@manurewasouth.school.nz,Tone Kolose,http://www.manurewasouth.school.nz/,39 Tawa Crescent,Manukau Central,Auckland,39 Tawa Crescent,Manurewa,Manukau,2102,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Manurewa,Auckland Region,Auckland South,Auckland,Manurewa,Tamaki Makaurau,Leabank,Manurewa-Papakura Ward,174.896078,-37.033073,1,293,20,176,78,19,0,0,0
1356,Manurewa West School,09 2668631,09 2675588,admin@manurewawest.school.nz,David Wallis,http://www.manurewawest.school.nz,Mckean Avenue,Manurewa,Auckland,31 Mckean Avenue,Manurewa,Manukau,2102,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Manurewa,Auckland Region,Auckland South,Auckland,Manurewa,Tamaki Makaurau,Manurewa Central,Manurewa-Papakura Ward,174.886906,-37.024393,2,457,38,197,152,61,9,0,0
1357,Maraetai Beach School,09 5366570,09 5366659,office@maraetaibeach.school.nz,Gary Veysi,http://www.maraetaibeach.school.nz/,154 Maraetai Drive,,Maraetai Beach,154 Maraetai Drive,Maraetai,Manukau,2018,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Franklin,Auckland Region,Auckland South,Auckland,Hunua,Hauraki-Waikato,Beachlands-Maraetai,Franklin Ward,175.036926,-36.878781,10,252,215,17,3,12,0,5,0
1358,Maramarua School,09 2325846,09 2325844,office@maramarua.school.nz,Rodney Montford,http://www.maramaruaschool.weebly.com,2200 State Highway 2,,Maramarua,2200 State Highway 2,RD 1,Pokeno,2471,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Maramarua,Whangamarino Ward,175.227785,-37.251032,4,42,21,18,0,2,1,0,0
1359,Marist School (Mt Albert),09 8467408,09 8467509,admin@marist.school.nz,Catherine Ryan,http://www.marist.school.nz,14 Kitenui Avenue,Mount Albert,Auckland,14 Kitenui Avenue,Mount Albert,Auckland,1025,Main Urban Area,Contributing,Not Applicable,State: Integrated,Co-Educational,Auckland- Albert-Eden,Auckland Region,Auckland South,Auckland,Mt Albert,Tamaki Makaurau,Mt Albert Central,Albert-Eden-Roskill Ward,174.725359,-36.880871,7,280,169,14,25,62,8,2,0
1360,Marist Catholic School (Herne Bay),09 3767173,09 3781496,office@maristschool.co.nz,Robyn Pivac,http://www.maristhernebay.school.nz,82 Kelmarna Avenue,Herne Bay,Auckland,82 Kelmarna Avenue,Ponsonby,Auckland,1011,Main Urban Area,Contributing,Not Applicable,State: Integrated,Co-Educational,Auckland- Waitemata,Auckland Region,Auckland South,Auckland,Auckland Central,Tamaki Makaurau,Ponsonby West,Waitemata and Gulf Ward,174.735627,-36.851308,7,191,101,15,49,20,4,1,1
1361,Marlborough School,09 4810365,09 4805090,office@marlboroughprimary.school.nz,Christine Wargent,http://www.marlboroughprimary.school.nz,Wykeham Place,Glenfield,Auckland,4 Wykeham Place,Glenfield,North Shore City,0629,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Kaipatiki,Auckland Region,Auckland North,Auckland,Northcote,Te Tai Tokerau,Glenfield Central,North Shore Ward,174.730623,-36.785858,7,279,112,23,16,118,10,0,0
1362,Marshall Laing School,09 6265103,09 6271632,office@marshall.school.nz,David White,http://www.marshall.school.nz,39 Marshall Laing Avenue,Mount Roskill,Auckland,39 Marshall Laing Avenue,Mount Roskill,Auckland,1041,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Puketapapa,Auckland Region,Auckland South,Auckland,New Lynn,Tamaki Makaurau,Lynfield North,Albert-Eden-Roskill Ward,174.718233,-36.916178,6,539,54,32,64,339,45,0,5
1363,Massey Primary School,09 8337232,09 8334786,masseyprimary@xtra.co.nz,Bruce Barnes,http://www.masseyprimary.school.nz,326 Don Buck Road,Massey,Auckland,326 Don Buck Road,Massey,Waitakere,0614,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Upper Harbour,Te Tai Tokerau,Birdwood East,Waitakere Ward,174.600248,-36.839541,4,429,110,140,106,58,15,0,0
1364,Matakana School,09 4227309,09 4227667,,Darrel Goosen,http://www.matakana.school.nz,952 Matakana Road RD 5,,Warkworth,952 Matakana Road,RD 5,Warkworth,0985,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Rodney,Auckland Region,Auckland North,Auckland,Rodney,Te Tai Tokerau,Matakana,Rodney Ward,174.715127,-36.355014,9,334,263,39,8,16,1,7,0
1365,Matipo Road School,09 8346909,09 8348439,office@matipo.school.nz,Wayne Bainbridge,http://matipo.school.nz/,63B Matipo Road,Te Atatu North,Auckland,63B Matipo Road,Te Atatu Peninsula,Waitakere,0610,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Te Atatu,Te Tai Tokerau,Matipo,Waitakere Ward,174.641103,-36.837366,6,504,282,121,51,42,5,3,0
1366,Mauku School,09 2363654,09 2363653,admin@mauku.school.nz,Angela Smith,http://www.mauku.school.nz/,389 Union Road,,Mauku,389 Union Road,RD 3,Pukekohe,2678,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Franklin,Auckland Region,Auckland South,Auckland,Hunua,Hauraki-Waikato,Patumahoe,Franklin Ward,174.820835,-37.205572,6,113,55,41,14,2,0,1,0
1367,Maungawhau School,09 6388829,09 6388843,office@maungawhau.school.nz,Delanee Dale,http://www.maungawhau.school.nz/,Ellerton Road,Mount Eden,Auckland,43 Ellerton Road,Mount Eden,Auckland,1024,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Albert-Eden,Auckland Region,Auckland South,Auckland,Mt Roskill,Tamaki Makaurau,Maungawhau,Albert-Eden-Roskill Ward,174.754176,-36.891909,10,672,469,13,24,146,6,14,0
1368,May Road School,09 6268021,09 6268130,admin@mayroad.school.nz,Lynda Stuart,http://www.mayroad.school.nz,504 Richardson Road,Mount Roskill,Auckland,504 Richardson Road,Mount Roskill,Auckland,1041,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Puketapapa,Auckland Region,Auckland South,Auckland,Mt Roskill,Tamaki Makaurau,Akarana,Albert-Eden-Roskill Ward,174.730592,-36.915293,2,234,4,21,155,28,26,0,0
1369,Mayfield School (Auckland),09 2749374,09 2749483,office@mayfieldauckland.school.nz,Dubs Rai (acting),,12 Pearl Baker Drive,Otara,Auckland,12 Pearl Baker Drive,Otara,Manukau,2023,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Auckland,Manukau East,Tamaki Makaurau,Otara East,Manukau Ward,174.886825,-36.952764,1,341,0,80,258,2,0,1,0
1370,Meadowbank School,09 5203739,09 5221867,principal@meadowbank.school.nz,Ronald Ayson,http://www.meadowbank.school.nz,Waiatarua Road,Remuera,Auckland,68 Waiatarua Road,Remuera,Auckland,1050,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Orakei,Auckland Region,Auckland South,Auckland,Tamaki,Tamaki Makaurau,Meadowbank North,Orakei Ward,174.819916,-36.874784,10,748,544,30,32,113,8,16,5
1371,Mellons Bay School,09 5344363,09 5346657,admin@mellonsbay.school.nz,Judith Brown,http://mellonsbay.school.nz/,140 Mellons Bay Road,Howick South,Auckland,140 Mellons Bay Road,Mellons Bay,Manukau,2014,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Howick,Auckland Region,Auckland South,Auckland,Pakuranga,Tamaki Makaurau,Mellons Bay,Howick Ward,174.931162,-36.886029,10,509,391,21,7,83,7,0,0
